Timestamp,Strain_microstrain,Deflection_mm,Vibration_ms2,Tilt_deg,Displacement_mm,Crack_Propagation_mm,Corrosion_Level_percent,Cable_Member_Tension_kN,Bearing_Joint_Forces_kN,Fatigue_Accumulation_au,Modal_Frequency_Hz,Temperature_C,Humidity_percent,Wind_Speed_ms,Wind_Direction_deg,Precipitation_mmh,Water_Level_m,Seismic_Activity_ms2,Solar_Radiation_Wm2,Air_Quality_Index_AQI,Soil_Settlement_mm,Vehicle_Load_tons,Traffic_Volume_vph,Pedestrian_Load_pph,Impact_Events_g,Dynamic_Load_Distribution_percent,Axle_Counts_pmin,Structural_Health_Index_SHI,Anomaly_Detection_Score,Energy_Dissipation_au,Acoustic_Emissions_levels,Visual_Analysis_Defect_Score,Electrical_Resistance_ohms,Bridge_Mood_Meter,Localized_Strain_Hotspot,Vibration_Anomaly_Location,SHI_Predicted_24h_Ahead,SHI_Predicted_7d_Ahead,SHI_Predicted_30d_Ahead,Probability_of_Failure_PoF,Maintenance_Alert,Flood_Event_Flag,Simulated_Water_Flow_m3s,Soil_Saturation_percent,Landslide_Ground_Movement,Simulated_Slope_Displacement_mm,High_Winds_Storms,Simulated_Wind_Load_Pressure_kPa,Abnormal_Traffic_Load_Surges,Simulated_Localized_Stress_Index,Energy_Harvesting_Potential_W,Estimated_Repair_Cost_USD_incremental,Carbon_Footprint_tCO2e_incremental
1/01/2023 0:00,,12.66310389,1.275955045,0.587339859,22.5765181,-8.33E-05,0.002910397,404.3949059,233.0523446,0.009014898,1.924556494,9.970055393,68.5150139,7.281968344,208.4259475,-0.00396557,1.977751684,-5.73E-06,-14.29784558,54.1625175,0.00918021,7.876846154,482.2542697,109.0111027,4.63E-06,95.69055141,23.58299244,0.859543387,0,0.016280613,10.69016675,6.63E-06,0.261758403,Healthy,0,None,0.857324927,0.837690235,0.819753193,0.026853196,0,0,225.7109308,9.888758422,0,0.022592257,0,0.211946022,0,0.215354215,0.081403064,1.343588345,0.001348276
1/01/2023 0:01,599.9364475,12.23529732,0.716856894,0.657122181,21.20264886,9.18E-05,0.00460143,367.821051,237.5457347,-0.005914487,1.779173666,10.14369125,70.49207082,7.883003469,220.9573673,-0.009130795,1.990380527,7.16E-06,13.87006578,51.42915958,0.005679797,8.134204709,474.4031402,91.14596752,1.56E-06,94.12303382,27.87705755,0.863881965,0,0.021419451,12.05751278,5.52E-05,0.327751173,Healthy,0,Cables,0.860223355,0.845265842,0.791258906,0.027925327,0,0,227.3346392,9.92033053,0,0.014647156,0,0.231188126,0,0.218747436,0.107097254,1.397207384,0.001298552
1/01/2023 0:02,573.8784721,12.44714376,0.83475294,0.615010951,,-0.00037653,0.005115175,402.3937422,239.1648316,0.001870352,1.934703271,10.11953694,70.30771729,6.854615032,168.4473261,0.0007898,1.979136777,-1.06E-06,-27.9313001,57.20852261,-0.002063167,8.798210821,467.494353,102.6702831,1.02E-05,84.91188065,24.61476144,0.86282716,0,0.028387576,13.47154044,0,0.284852213,Healthy,0,Piers,0.858430249,,0.772081815,0.026403521,0,0,225.8890142,,0,0,0,0.199192133,0,0.213449322,0.141937878,1.318875895,0.001377566
1/01/2023 0:03,550.4573021,12.55488252,1.004916727,0.617999071,21.55194548,-0.000646099,0.005504697,356.0242384,237.6455858,-0.003404631,1.91642599,11.24029764,66.92976767,6.825782729,205.5626404,0.006539262,2.101644802,5.57E-06,-7.977880733,61.3720228,-0.015926966,9.120886723,412.8644483,112.3503222,4.09E-06,79.88985664,21.36159087,0.861611296,0,0.038486152,14.26583921,0,0.263047223,Healthy,0,None,0.86034454,0.835250104,0.801320568,0.027106389,0,0,241.640046,43.52602607,0,0,0,0.198359432,0,0.208190381,0.192430759,1.351772576,0.001379319
1/01/2023 0:04,572.8299599,12.59881789,1.176252577,0.633533943,21.71129217,0.000246884,-0.003414827,413.33828,232.3103807,-0.011584827,1.893920473,9.19545401,68.19639832,6.460371295,215.4876074,0.007723468,,6.60E-08,-8.084153763,52.14229773,-0.015847731,9.502746373,436.0731312,98.00394569,-2.29E-06,,27.50334557,0.857407265,0,0.052321853,,,0.273266745,Healthy,0,None,0.855702306,0.842933977,0.826334788,,0,0,227.4235779,44.13818523,0,0,0,0.188110172,0,0.261239753,0.261609265,,0.00126666
1/01/2023 0:05,512.197167,12.62266104,1.054732933,0.631448965,22.03229616,0.000300452,-0.004989655,379.6187493,228.0339719,-0.005128949,1.976368686,9.294387211,66.08579864,5.983738748,167.7807305,0.008132437,1.99613805,-7.22E-06,26.97894867,59.53994952,0.000278286,9.721561973,456.6078579,112.1032643,-4.75E-06,87.89240792,25.55678733,0.863401389,0,0.063446469,,2.02E-05,,Healthy,0,None,0.861871046,0.853018291,0.773597966,0.0249905,0,0,228.0748921,43.07300275,0,0.000244465,,0.175588607,0,0.244128997,0.317232343,1.250017173,0.001400441
1/01/2023 0:06,595.4293383,13.10858334,0.816550562,0.629324467,20.8925729,-0.000388989,-0.0034868,428.5785467,240.5974074,0.007590893,1.856090375,8.968955474,67.1817906,6.905932228,136.9152039,0.005236997,1.982155087,-1.95E-06,-19.07696157,57.48699839,-0.004023509,8.834373915,455.2282819,111.6705409,-6.63E-07,92.99539852,23.18841363,0.857052591,0,0.070114017,2.355881274,0,0.272409042,Healthy,0,Deck,0.853273727,0.838674623,0.826212186,0.027080961,0,0,226.2770826,43.60395187,0,0,0,0.2006829,0,0.234730321,0.350570084,1.351516529,0.001368114
1/01/2023 0:07,643.0507484,12.13731714,1.1151854,0.610663692,21.40821998,0.00087362,0.00757806,389.4946996,255.0543815,-0.016504244,1.965925452,10.08574466,66.54348151,7.970209257,146.8816987,0.000327618,,3.19E-06,11.28821356,60.47984781,0.010961253,9.437468394,423.3593254,93.87822885,1.91E-06,86.39385183,23.86015952,0.856013386,0,0.082550402,10.84448811,0.000235348,0.269381094,Healthy,0,Piers,0.851891979,,0.767082904,0.029085688,0,0,228.9659116,43.28508288,0,0.027602468,0,0.23410672,0,0.23295407,0.412752008,1.459973722,0.001377597
1/01/2023 0:08,586.402811,12.29911662,0.874660833,0.629441092,21.61847514,-0.001134629,-0.000481275,411.1368238,245.4777322,-0.011855791,,9.573064826,70.85925321,7.664933486,153.6048137,0.003926109,2.028382429,-1.19E-05,20.23563157,49.64887658,-0.004671848,7.338874642,465.1357987,94.96890003,5.27E-06,96.66529887,24.80214493,0.862400545,0,0.090200717,,0,0.237639972,Healthy,0,None,0.860413088,0.838858437,0.808680619,0.027914749,0,0,232.220598,45.45725429,0,0,0,0.224030322,0,0.20268986,0.451003587,1.386891429,0.001261551
1/01/2023 0:09,612.0388523,12.85062902,0.874930701,0.625139771,21.1245532,-0.000405935,0.003763437,409.4180896,246.83855,-0.01273321,1.941331323,9.882012967,66.75903051,8.198886114,146.1294832,-0.006781622,2.060388324,-7.65E-06,1.073919636,53.6442795,0.013969853,9.368005837,448.1056656,103.5685212,1.71E-06,93.10641742,27.57816677,0.856787393,0,0.097855755,14.20021898,0,0.248782892,Healthy,0,Cables,0.853463978,0.837170722,0.757599284,0.029531249,,0,236.3356417,10.05505908,0,0.034446246,0,0.241912549,0,0.249206132,0.489278773,1.473335579,0.001302559
